,object_id,ra,decl,gal_l,gal_b,ddf,hostgal_specz,hostgal_photoz,hostgal_photoz_err,distmod,mwebv,target
1,713,53.085938,-27.784405,223.525509,-54.460748,1,1.8181,1.6267,0.2552,45.4063,0.007,88
2,730,33.574219,-6.579593,170.455585,-61.548219,1,0.232,0.2262,0.0157,40.2561,0.021,42
7,1632,348.595886,-63.07262,320.023289,-50.71306,1,0.6857,0.7014,0.01,43.1524,0.021,42
11,2103,346.5,-62.3204,321.951129,-50.736054,1,0.1695,0.5409,0.2283,42.4667,0.02,42
12,2300,359.446716,-44.20153,331.730015,-69.805709,1,0.236,2.7474,0.5335,46.7959,0.01,42
15,2677,53.964844,-28.630989,225.14295,-53.813613,1,0.0,0.0,0.0,,0.009,16
18,3285,150.820312,1.64151,237.994507,42.358984,1,0.161,0.1818,0.0079,39.7258,0.02,42
20,3489,150.117188,2.836105,236.124718,42.483719,1,1.133,1.4377,0.2168,45.0753,0.016,88
21,3910,0.58952,-47.161343,325.385896,-67.769893,1,0.1969,2.6766,0.5926,46.7274,0.009,62
22,4088,0.965665,-46.37508,325.845907,-68.579427,1,0.4833,0.4644,0.0321,42.0691,0.007,88
23,4132,359.811707,-45.191612,329.485675,-69.150905,1,0.0561,0.0556,0.0301,36.975,0.01,42
24,4171,2.097458,-45.783966,324.73784,-69.478613,1,0.0,0.0,0.0,,0.011,16
26,4220,358.648071,-46.37508,329.462659,-67.716008,1,0.1197,0.1322,0.3351,38.9679,0.009,42
30,5527,347.861847,-61.943836,321.519104,-51.424048,1,0.1315,0.2487,0.8604,40.4896,0.017,42
35,7033,52.207031,-28.29155,224.208534,-55.300157,1,0.0826,0.085,0.0073,37.9414,0.007,42
37,7315,2.07113,-45.191612,325.606223,-69.989264,1,0.133,0.1337,0.0171,38.9942,0.011,88
38,7409,352.398651,-62.696659,318.017427,-51.967966,1,3.4451,0.5176,1.2609,42.3516,0.02,88
39,7566,359.446716,-44.20153,331.730015,-69.805709,1,0.0,0.0,0.0,,0.01,16
41,7703,53.085938,-28.122234,224.100909,-54.509752,1,0.083,0.082,0.2257,37.8568,0.007,62
42,7756,149.414062,2.238686,236.239766,41.565558,1,0.0,0.0,0.0,,0.017,16
46,8784,34.101562,-5.829153,170.247753,-60.638325,1,0.0,0.0,0.0,,0.019,16
49,9184,0.949367,-45.586655,326.991548,-69.251686,1,1.4031,1.2719,0.4971,44.7463,0.013,88
52,9936,32.871094,-4.780192,166.959493,-60.615132,1,0.1633,0.0719,0.0389,37.558,0.017,42
58,10586,358.636353,-46.768478,328.890146,-67.388837,1,0.6052,0.6017,0.0153,42.7467,0.008,88
61,10798,351.299988,-62.3204,319.038597,-52.026867,1,0.1778,0.1872,0.0121,39.7959,0.018,42
62,11165,150.996094,2.985506,236.647967,43.28735,1,0.0,0.0,0.0,,0.02,16
63,11359,349.966217,-62.696659,319.542989,-51.376556,1,0.1529,0.1415,0.0072,39.1281,0.021,42
65,11770,346.130127,-63.07262,321.423103,-50.042305,1,0.1415,0.2171,0.435,40.156,0.02,62
81,14539,150.644531,3.583322,235.698235,43.342784,1,0.2882,0.2359,0.0434,40.359,0.018,88
89,15626,346.130127,-63.07262,321.423103,-50.042305,1,0.0,0.0,0.0,,0.02,16
91,15700,359.415588,-46.768478,327.729895,-67.686097,1,0.0,0.0,0.0,,0.009,16
95,16339,51.328125,-27.447618,222.535046,-55.950727,1,0.0,0.0,0.0,,0.013,16
96,16349,150.820312,3.134927,236.341348,43.230123,1,0.0,0.0,0.0,,0.016,16
101,17094,52.207031,-28.29155,224.208534,-55.300157,1,0.0,0.0,0.0,,0.007,16
102,17172,53.4375,-29.142223,225.90812,-54.336118,1,0.0,0.0,0.0,,0.008,16
105,17370,0.949367,-45.586655,326.991548,-69.251686,1,0.3138,0.3391,0.4176,41.2636,0.013,62
108,18507,352.711273,-63.823658,316.922299,-51.059403,1,0.3755,0.3457,0.023,41.3125,0.024,88
110,18645,358.636353,-46.768478,328.890146,-67.388837,1,0.164,2.3025,1.1022,46.3306,0.008,62
111,18706,34.277344,-5.67919,170.31493,-60.410322,1,0.1706,0.1766,0.0158,39.6556,0.02,62
115,19213,1.753247,-46.768478,324.030235,-68.498041,1,0.1254,0.1484,0.0086,39.2403,0.014,62
117,20567,351.259003,-64.386185,317.34486,-50.255113,1,0.1549,0.1481,0.2206,39.235,0.02,62
118,20934,348.908447,-63.823658,319.169886,-50.176186,1,0.0999,2.5704,1.2137,46.6209,0.018,42
121,22574,150.996094,2.985506,236.647967,43.28735,1,0.0,0.0,0.0,,0.02,16
125,23299,33.222656,-4.780192,167.515653,-60.396584,1,0.5869,0.54,0.0151,42.4624,0.018,88
126,23373,150.117188,3.732834,235.120533,42.993809,1,0.5442,0.5636,0.2043,42.5744,0.02,88
134,23931,32.695312,-4.929937,166.868469,-60.84123,1,0.6282,0.6337,0.0073,42.8832,0.018,88
135,24193,152.050781,2.985506,237.495952,44.143927,1,2.0958,1.3937,0.2518,44.9919,0.019,88
138,24849,53.085938,-27.11186,222.384291,-54.355086,1,0.0,0.0,0.0,,0.007,16
147,25783,150.820312,3.134927,236.341348,43.230123,1,0.104,0.1439,0.0116,39.1669,0.016,42
148,25920,150.644531,3.583322,235.698235,43.342784,1,0.0,0.0,0.0,,0.018,16
149,25925,35.332031,-5.979157,172.286722,-59.931743,1,1.7327,1.7075,0.132,45.5358,0.022,88
151,26338,151.171875,2.537361,237.288526,43.169764,1,0.1892,0.225,0.0141,40.2436,0.024,62
153,26401,151.699219,3.583322,236.533224,44.205648,1,0.0,0.0,0.0,,0.016,16
154,26531,351.259003,-64.386185,317.34486,-50.255113,1,2.5314,2.4324,0.2792,46.4755,0.02,88
157,27124,351.299988,-62.3204,319.038597,-52.026867,1,0.0,0.0,0.0,,0.018,16
165,28915,53.789062,-27.784405,223.685697,-53.845803,1,0.0,0.0,0.0,,0.009,16
167,29252,51.855469,-28.630989,224.73326,-55.649872,1,0.1439,0.1421,0.0233,39.1376,0.009,42
171,29668,151.699219,3.583322,236.533224,44.205648,1,0.1461,0.1584,0.0175,39.396,0.016,42
172,29670,1.694561,-45.191612,326.278557,-69.858253,1,0.1135,0.1208,0.0198,38.7544,0.011,62
175,30191,150.117188,2.238686,236.784618,42.139082,1,1.5405,1.3073,0.1521,44.8201,0.016,88
176,30505,151.171875,2.238686,237.619933,42.994783,1,0.0,0.0,0.0,,0.024,16
179,30673,349.966217,-62.696659,319.542989,-51.376556,1,0.0,0.0,0.0,,0.021,16
180,30895,349.429535,-62.508568,320.039643,-51.393745,1,0.0,0.0,0.0,,0.02,16
186,31824,352.398651,-62.696659,318.017427,-51.967966,1,0.1838,0.0844,0.3311,37.9246,0.02,42
187,32238,34.101562,-5.829153,170.247753,-60.638325,1,0.0,0.0,0.0,,0.019,16
188,32309,34.804688,-5.829153,171.307861,-60.174401,1,0.2251,0.2258,0.9011,40.2521,0.023,42
193,33191,151.171875,2.238686,237.619933,42.994783,1,0.403,0.4039,0.0174,41.7094,0.024,42
196,33422,33.574219,-6.579593,170.455585,-61.548219,1,1.1111,1.1054,0.0101,44.3693,0.021,88
